COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1454691,3933061,1944629,1988432,"101Y09M"
63000,臺北市,1015637,2665832,1282207,1383625,"101Y09M"
66000,臺中市,880904,2679172,1330795,1348377,"101Y09M"
67000,臺南市,655152,1879644,944292,935352,"101Y09M"
64000,高雄市,1045314,2776550,1387596,1388954,"101Y09M"
10002,宜蘭縣,158515,458432,233215,225217,"101Y09M"
10003,桃園縣,699340,2025716,1018895,1006821,"101Y09M"
10004,新竹縣,169624,522376,268057,254319,"101Y09M"
10005,苗栗縣,177863,563013,291267,271746,"101Y09M"
10007,彰化縣,371570,1299446,665710,633736,"101Y09M"
10008,南投縣,173900,520374,267404,252970,"101Y09M"
10009,雲林縣,234240,711041,370598,340443,"101Y09M"
10010,嘉義縣,179189,534178,278498,255680,"101Y09M"
10013,屏東縣,280556,859423,441359,418064,"101Y09M"
10014,臺東縣,81216,226621,118108,108513,"101Y09M"
10015,花蓮縣,122614,335331,172256,163075,"101Y09M"
10016,澎湖縣,35635,98104,50411,47693,"101Y09M"
10017,基隆市,148826,377537,190152,187385,"101Y09M"
10018,新竹市,148624,423692,210178,213514,"101Y09M"
10020,嘉義市,96951,271339,133193,138146,"101Y09M"
09020,金門縣,35020,110851,55903,54948,"101Y09M"
09007,連江縣,2295,10937,6236,4701,"101Y09M"
